Nome,Escolaridade,Número,Aptidão,Coligação
Baiano Louco,Ensino Fundamental incompleto,3340,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Baldassi,Ensino Médio completo,2855,Deferido (Apto),PRTB
Baleia Rossi,Superior completo,1515,Deferido (Apto),MDB
Barba Pintor,Ensino Médio incompleto,5098,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Barbosa Junior,Superior completo,1379,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Batoré,Ensino Médio completo,1444,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Beá,Superior completo,4368,Deferido (Apto),PV
Beatriz Ramos,Ensino Médio completo,4401,Indeferido (Inapto),PRP
Beethoven,Superior completo,9089,Deferido (Apto),PROS
Bepe Pantera,Superior incompleto,2720,Deferido (Apto),DC
Berinjela,Ensino Médio completo,7054,Deferido (Apto),AVANTE
Bernardo,Ensino Médio completo,4454,Deferido (Apto),PRP
Bertolino,Ensino Médio completo,5115,Indeferido (Inapto),PATRI
Betão,Superior completo,7098,Deferido (Apto),AVANTE
Bete do Depósito Prado,Ensino Médio completo,5102,Deferido (Apto),PATRI
Bete Otsu,Superior completo,1089,Deferido (Apto),PRB
Beth Agatão,Superior completo,4373,Deferido (Apto),PV
Betinho,Ensino Fundamental completo,7002,Deferido (Apto),AVANTE
Beto do Helipa,Ensino Médio completo,7785,Deferido (Apto),SOLIDARIEDADE
Beto Mansur,Superior completo,1500,Deferido (Apto),MDB
Beto Mariano,Ensino Médio completo,5180,Deferido (Apto),PATRI
Beto Sena,Superior completo,5043,Indeferido (Inapto),SEM MEDO DE MUDAR SÃO PAULO
Beto Work,Ensino Médio completo,5109,Deferido (Apto),PATRI
Bezerra,Superior completo,1317,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Bhetinha Macedo,Superior completo,9055,Deferido (Apto),PROS
Bia Hipolito,Superior completo,2242,Deferido (Apto),PR
Bianca Sousa,Superior completo,1974,Renúncia (Inapto),UNIDOS POR SÃO PAULO
Bin Laden,Ensino Fundamental incompleto,5186,Deferido (Apto),PATRI
Bispa Sônia Ribeiro,Superior incompleto,5197,Deferido (Apto),PATRI
Bombonatti,Superior completo,3070,Deferido (Apto),NOVO
Branca Filha da Lulu,Ensino Médio completo,7005,Deferido (Apto),AVANTE
Brandina,Superior completo,3615,Deferido (Apto),PTC
Braz Bello,Superior completo,1504,Deferido (Apto),MDB
