Nome,Escolaridade,Número,Aptidão,Coligação
Marcelinho Carioca,Superior completo,19000,Deferido (Apto),PODE
Joao Batista,Ensino Médio completo,13444,Deferido (Apto),PT
João Batista Silva,Ensino Médio completo,77688,Deferido (Apto),SOLIDARIEDADE
João Bosco Lopes,Ensino Médio completo,44666,Deferido (Apto),PRP
Marcello Mazario,Superior completo,19773,Deferido (Apto),PODE
Marcelo Lins,Superior completo,19150,Deferido (Apto),PODE
Marcia Pinheiro,Superior completo,19549,Deferido (Apto),PODE
João Diamantino,Superior incompleto,50850,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Marcio da Farmacia,Superior completo,19199,Deferido (Apto),PODE
Marcos Cavichiolli,Superior completo,19578,Deferido (Apto),PODE
João Lima,Ensino Fundamental completo,44443,Deferido (Apto),PRP
João Marcos,Ensino Médio completo,33150,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
João Miguel,Ensino Médio completo,35500,Deferido (Apto),RENOVAÇÃO 
João Misterioso,Ensino Médio completo,65765,Deferido (Apto),PC do B
João Mota,Ensino Médio completo,22233,Deferido (Apto),PR
Marcos Peixoto,Superior completo,19009,Deferido (Apto),PODE
Monica Miranda Campos,Superior completo,19991,Deferido (Apto),PODE
Murilo Felix,Superior completo,19800,Deferido (Apto),PODE
Jober Alves,Ensino Médio completo,15078,Deferido (Apto),MDB
Jocelino Santana,Ensino Fundamental incompleto,19789,Deferido (Apto),PODE
Joelma Maxicima,Ensino Médio completo,17206,Deferido (Apto),PSL
Nadais,Superior completo,19833,Deferido (Apto),PODE
Joice Aparecida,Ensino Médio completo,70720,Deferido (Apto),AVANTE
Jonas,Ensino Médio completo,14333,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Natalia Nascimento,Superior completo,19250,Deferido (Apto),PODE
Pedro Kaka,Superior completo,19123,Deferido (Apto),PODE
Jonas de Castro,Ensino Médio incompleto,31531,Deferido (Apto),RENOVAÇÃO 
Prof.guaraci,Superior completo,19041,Deferido (Apto),PODE
Jones Pontes,Superior incompleto,18500,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Joni,Ensino Médio incompleto,90000,Deferido (Apto),PROS
Professor Fernando Costa,Superior completo,19165,Deferido (Apto),PODE
Jorge de Freitas,Superior incompleto,51155,Deferido (Apto),PATRI
Jorge Fuzil,Ensino Fundamental incompleto,65121,Deferido (Apto),PC do B
Professor Francisco José,Superior completo,19128,Deferido (Apto),PODE
Ralfi Silva,Superior completo,19020,Deferido (Apto),PODE
Ricardo Fabrizio,Superior completo,19999,Deferido (Apto),PODE
